Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	Clan 9	Clan 10	Clan 11	boot_average	boot_max	boot_min	boot_stdev
Tree 165	57	0	0	1	0	0	1	1	1	0	0	0	79.222221	100.000000	21.000000	21.997194
Tree 166	61	0	0	?	0	0	0	0	0	0	0	0	63.758621	100.000000	10.000000	27.581421
Tree 167	70	0	0	1	0	0	1	0	1	0	0	0	69.656715	100.000000	16.000000	25.744179
Tree 168	66	0	0	1	0	0	1	0	0	0	0	0	78.333336	100.000000	24.000000	21.004158
Tree 169	70	0	0	1	0	0	0	0	0	0	0	0	77.686569	100.000000	18.000000	21.964155
Tree 170	60	0	0	?	0	0	0	0	0	0	0	0	69.263161	100.000000	6.000000	24.985981
Tree 171	66	0	0	1	0	0	0	1	0	0	0	0	71.444443	100.000000	32.000000	22.392443
Tree 172	57	0	0	0	0	0	0	1	0	0	0	0	66.074074	100.000000	12.000000	21.506117
Tree 173	74	0	0	1	0	0	0	0	0	0	0	0	69.267609	100.000000	17.000000	25.939236
Tree 174	63	0	0	0	0	0	0	0	0	0	0	0	57.933334	97.000000	17.000000	20.921972
Tree 175	68	0	0	1	0	1	0	0	0	0	0	0	78.784615	100.000000	26.000000	22.221603
Tree 176	56	0	0	?	0	0	0	1	0	0	0	0	70.283020	100.000000	13.000000	24.831036
Tree 177	52	0	0	1	0	0	0	0	0	0	0	0	59.530613	100.000000	5.000000	28.610758
Tree 178	53	0	1	1	0	0	0	0	0	0	0	0	69.040001	100.000000	13.000000	22.968639
Tree 179	69	0	0	?	0	0	0	0	0	0	0	0	64.560608	100.000000	12.000000	26.106499
Tree 180	68	0	0	1	0	0	0	1	1	0	0	0	71.723076	100.000000	27.000000	25.903677
Tree 181	65	0	0	0	0	0	0	0	0	0	0	0	64.048386	100.000000	30.000000	21.574650
Tree 182	70	0	0	1	0	0	0	0	0	0	0	0	62.044777	100.000000	15.000000	24.527431
Tree 183	56	0	0	0	0	0	0	0	0	0	0	0	63.698112	100.000000	18.000000	23.549694
Tree 184	55	0	0	?	0	0	0	0	0	0	0	0	69.884613	100.000000	13.000000	22.655157
Tree 185	61	0	0	1	0	0	1	1	0	0	0	0	85.293106	100.000000	50.000000	14.694605
Tree 186	67	0	0	1	0	0	0	0	0	0	0	0	74.328125	100.000000	20.000000	19.671560
Tree 187	68	0	0	1	0	0	0	0	1	0	0	0	77.507690	100.000000	21.000000	22.834604
Tree 188	67	0	0	1	0	0	0	0	0	0	0	0	68.625000	100.000000	19.000000	23.090515
Tree 189	57	0	0	1	0	1	0	0	0	0	0	0	71.074074	100.000000	32.000000	21.814753
Tree 190	57	0	0	1	0	0	0	0	0	0	0	0	70.500000	100.000000	15.000000	23.415529
Tree 191	51	0	0	1	0	0	0	0	0	0	0	0	66.729164	100.000000	28.000000	20.589985
Tree 192	69	0	0	1	0	0	0	0	0	0	0	0	66.590912	100.000000	17.000000	25.098581
Tree 193	69	0	0	1	0	0	0	0	0	0	0	0	67.151512	100.000000	14.000000	22.899147
Tree 194	68	0	0	1	0	0	0	0	1	0	0	0	73.984619	100.000000	7.000000	24.020182
Tree 195	61	0	0	1	0	0	0	0	1	0	0	0	72.275864	100.000000	18.000000	22.754910
Tree 196	66	0	0	1	0	0	0	0	0	0	0	0	67.952377	100.000000	26.000000	24.191975
Tree 197	62	0	0	1	0	0	0	0	0	0	0	0	66.830505	100.000000	18.000000	26.651012
Tree 198	57	0	1	?	0	0	0	1	0	0	0	0	63.333332	100.000000	8.000000	28.662144
Tree 199	71	0	0	1	0	0	0	0	1	0	0	0	71.794121	100.000000	10.000000	25.053801
Tree 200	59	0	0	1	0	0	0	0	0	0	0	0	60.714287	100.000000	20.000000	22.622456
Tree 201	64	0	0	1	0	0	0	0	0	0	0	0	58.098362	100.000000	16.000000	25.678150
Tree 202	62	0	0	1	0	0	0	1	0	0	0	0	78.050850	100.000000	30.000000	20.730251
Tree 203	58	0	0	1	0	0	0	0	0	0	0	0	74.090912	100.000000	37.000000	20.132538
Tree 204	60	0	0	1	0	0	0	0	0	0	0	0	58.070175	100.000000	22.000000	21.799616
Tree 205	73	0	0	1	0	0	0	0	1	0	1	0	69.485718	100.000000	21.000000	21.341269
Tree 206	57	0	0	?	0	0	1	1	0	0	0	0	75.074074	100.000000	25.000000	20.897327
Tree 207	65	0	0	1	0	0	1	1	1	0	0	0	77.419357	100.000000	18.000000	24.725296
Tree 208	51	0	0	?	0	0	0	0	?	0	0	0	61.916668	100.000000	21.000000	22.273708
Tree 209	56	0	0	?	0	0	0	1	0	0	0	0	67.641510	100.000000	15.000000	21.175007
Tree 210	65	0	0	1	0	0	0	1	0	0	0	0	78.903229	100.000000	12.000000	20.378450
Tree 211	58	0	0	?	0	0	0	0	0	0	0	0	68.327271	100.000000	17.000000	23.767092
Tree 212	61	0	0	1	0	0	0	1	0	0	0	0	72.637932	100.000000	27.000000	23.623995
