Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	Clan 9	Clan 10	boot_average	boot_max	boot_min	boot_stdev
Tree 271	52	0	0	0	0	0	0	0	0	0	0	71.061226	100.000000	38.000000	22.083708
Tree 272	49	1	1	0	1	?	1	1	0	0	0	75.173912	100.000000	22.000000	24.967197
Tree 273	54	0	1	0	1	0	1	0	1	0	1	80.705879	100.000000	30.000000	20.488441
Tree 274	51	0	0	0	0	0	0	1	0	0	0	64.750000	100.000000	16.000000	27.603970
Tree 275	55	1	1	0	0	0	0	0	1	0	1	77.923080	100.000000	30.000000	21.770523
Tree 276	46	1	?	0	0	0	0	0	0	0	0	75.418602	100.000000	17.000000	28.134426
Tree 277	56	0	0	0	0	1	1	0	0	0	1	80.698112	100.000000	31.000000	19.688696
Tree 278	55	0	0	0	0	0	0	0	0	0	0	69.673080	100.000000	5.000000	27.031122
Tree 279	44	0	1	0	0	0	0	0	1	0	0	80.146339	100.000000	16.000000	24.044230
Tree 280	48	0	0	1	0	1	1	1	0	0	0	76.177780	100.000000	24.000000	25.222818
Tree 281	55	0	0	0	0	0	1	1	0	0	0	79.115387	100.000000	15.000000	25.107199
Tree 282	46	0	0	0	0	0	0	1	0	0	0	65.604652	100.000000	26.000000	26.631107
Tree 283	43	0	0	0	0	0	0	0	0	0	0	70.724998	100.000000	26.000000	25.428320
Tree 284	57	0	0	0	0	0	1	1	0	0	0	76.629631	100.000000	26.000000	24.908943
