Tree number	size	Clan 1	Clan 2	Clan 3	Clan 4	Clan 5	Clan 6	Clan 7	Clan 8	boot_average	boot_max	boot_min	boot_stdev
Tree 177	17	0	0	0	0	0	?	0	0	44.357143	100.000000	11.000000	22.730118
Tree 178	18	1	1	0	0	0	?	1	1	61.866665	100.000000	29.000000	22.440638
Tree 179	17	0	0	0	0	0	0	0	0	58.214287	88.000000	28.000000	20.382690
Tree 180	22	0	0	0	0	0	0	0	0	50.000000	100.000000	7.000000	27.443722
Tree 181	18	0	0	0	0	0	0	0	0	42.133335	99.000000	2.000000	27.541161
Tree 182	20	0	0	0	0	0	0	0	0	54.235294	86.000000	20.000000	21.167480
Tree 183	19	0	0	0	0	0	0	0	0	55.125000	100.000000	21.000000	24.718098
Tree 184	17	1	0	0	1	0	0	1	0	51.571430	100.000000	5.000000	29.591780
Tree 185	17	0	0	0	0	0	0	0	0	33.785713	56.000000	12.000000	10.684959
Tree 186	17	0	0	0	0	0	0	0	0	51.785713	98.000000	11.000000	24.030275
Tree 187	16	0	0	0	0	0	?	0	0	50.307693	93.000000	27.000000	20.637474
Tree 188	16	0	0	0	?	0	0	0	0	45.615383	99.000000	6.000000	25.122894
Tree 189	21	0	0	0	1	1	0	1	0	48.888889	100.000000	16.000000	22.280758
Tree 190	22	0	0	0	0	0	0	0	1	54.105263	88.000000	16.000000	23.757315
Tree 191	20	0	0	0	0	0	0	0	0	48.235294	99.000000	16.000000	17.318911
Tree 192	16	0	0	0	0	0	0	1	0	62.384617	96.000000	31.000000	20.503428
Tree 193	17	0	0	0	?	0	?	0	1	55.285713	90.000000	10.000000	21.651224
Tree 194	18	0	0	0	0	0	?	0	0	48.266666	96.000000	13.000000	24.208723
Tree 195	16	0	0	0	1	0	0	1	0	57.384617	96.000000	27.000000	21.592514
Tree 196	15	0	0	0	?	0	0	0	0	59.250000	89.000000	27.000000	21.385839
Tree 197	20	0	0	0	?	0	?	0	0	40.647060	93.000000	8.000000	24.916191
Tree 198	18	0	0	0	?	0	0	0	0	57.000000	96.000000	29.000000	20.122955
Tree 199	20	0	0	0	0	0	0	0	0	62.823528	100.000000	16.000000	25.688715
Tree 200	23	0	0	0	1	0	0	1	0	51.849998	100.000000	15.000000	20.725044
Tree 201	17	0	0	0	0	0	?	1	0	61.285713	98.000000	40.000000	17.371687
Tree 202	16	0	0	0	?	0	0	0	0	43.769230	76.000000	14.000000	17.594378
Tree 203	19	0	0	0	0	0	0	0	0	44.875000	100.000000	8.000000	23.336866
Tree 204	22	0	0	0	1	1	0	0	0	55.052631	98.000000	9.000000	23.736433
Tree 205	17	0	0	0	0	0	1	?	0	47.071430	94.000000	14.000000	28.506804
Tree 206	16	0	0	0	?	0	0	1	1	54.769230	85.000000	19.000000	20.818459
Tree 207	24	0	0	0	0	0	0	1	0	51.571430	100.000000	11.000000	28.701370
Tree 208	16	0	0	0	0	0	?	1	0	63.153847	99.000000	39.000000	17.575535
Tree 209	15	0	0	0	?	0	0	0	0	33.250000	67.000000	3.000000	20.688665
Tree 210	22	0	0	0	?	0	0	1	0	59.842106	97.000000	29.000000	18.339670
Tree 211	17	1	1	0	0	0	1	1	1+	59.642857	100.000000	27.000000	22.053852
Tree 212	17	0	0	0	0	0	?	0	0	50.714287	90.000000	18.000000	22.932911
Tree 213	16	0	0	0	0	0	0	1	0	53.307693	100.000000	21.000000	22.036280
Tree 214	20	0	0	0	?	0	0	1	0	56.823528	99.000000	24.000000	24.156925
Tree 215	21	0	0	0	0	0	0	1	1	53.388889	98.000000	2.000000	30.298769
Tree 216	17	0	0	1	0	1	?	1	0	44.857143	100.000000	9.000000	22.796793
Tree 217	16	1	0	0	0	0	0	0	0	43.153847	94.000000	9.000000	29.212343
Tree 218	21	0	0	0	0	0	1	1	1	59.166668	100.000000	10.000000	27.711309
Tree 219	15	0	0	0	0	0	0	1	0	60.166668	100.000000	26.000000	27.422112
Tree 220	16	1	0	0	0	0	0	0	0	54.230770	86.000000	19.000000	23.258261
Tree 221	16	1	1	0	1	0	?	1	1	59.076923	96.000000	25.000000	23.548515
